Symbol,Security Name,CUSIP/ISIN,Asset Class,Sector,Currency,Quantity,Price (Local),FX to USD,Market Value (USD),Cost Basis (USD),Unrealized G/L (USD),Unrealized G/L %,Weight %
NVDA,NVIDIA Corporation,67066G104,Equity - US,Information Technology,USD,650,1108.5,1,720525,400250,320275,0.800187382885697,0.180146010713753
SPY,SPDR S&P 500 ETF Trust,78462F103,ETF - US Equity,Diversified,USD,830,578.2,1,479906,369160,110746,0.29999458229494,0.119986331380027
MSFT,Microsoft Corporation,594918104,Equity - US,Information Technology,USD,835,478.5,1,399547.5,285390,114157.5,0.400005255965521,0.0998950601514912
QQQ,Invesco QQQ Trust,46090E103,ETF - US Equity,Diversified,USD,758,527.8,1,400072.4,296350,103722.4,0.349999662561161,0.100026295904621
AAPL,Apple Inc.,037833100,Equity - US,Information Technology,USD,1365,234.1,1,319546.5,199720,119826.5,0.599972461446025,0.079893171246719
VTI,Vanguard Total Stock Market ETF,922908769,ETF - US Equity,Diversified,USD,1105,289.4,1,319787,255830,63957,0.249998045577141,0.0799533011736149
GOOGL,Alphabet Inc. Class A,02079K305,Equity - US,Communication Services,USD,1205,199.2,1,240036,208720,31316,0.150038328861633,0.0600139173903562
TSM,Taiwan Semiconductor Mfg ADR,874039100,ADR,Information Technology,USD,1090,220.3,1,240127,160085,80042,0.499996876659275,0.0600366692545871
BRK.B,Berkshire Hathaway Inc. Class B,084670702,Equity - US,Financials,USD,421,474.6,1,199806.6,166500,33306.6,0.20003963963964,0.0499557432487124
JNJ,Johnson & Johnson,478160104,Equity - US,Health Care,USD,1210,165.2,1,199892,190374,9518,0.0499963230273042,0.0499770949982214
KO,Coca-Cola Company,191216100,Equity - US,Consumer Staples,USD,2225,71.85,1,159866.25,159866.25,0,0,0.0399698375285625
7203.T,Toyota Motor Corp,JP3633400001,Equity - International,Consumer Discretionary,JPY,7500,3205,150,160250,174185,-13935,-0.0800011482044952,0.0400657828900856
005930.KS,Samsung Electronics Co Ltd,KR7005930003,Equity - International,Information Technology,KRW,2870,78200,1400,160310,182170,-21860,-0.119997804248779,0.0400807841192488
TOTAL,,,,,,,,,3999672.25,3048600.25,951072,0.311970059045951,1
