Symbol,Security Name,CUSIP/ISIN,Asset Class,Sector,Currency,Quantity,Price (Local),FX to USD,Market Value (USD),Cost Basis (USD),Unrealized G/L (USD),Unrealized G/L %,Weight %
XOM,Exxon Mobil Corporation,30231G102,Equity - US,Energy,USD,6420,115.0,1,738300,591840,146460,0.247465935254189,0.09
CVX,Chevron Corporation,166764100,Equity - US,Energy,USD,3700,155.0,1,573500,481000,92500,0.192307692307692,0.0699756097560976
COP,ConocoPhillips,20825C104,Equity - US,Energy,USD,3280,125.0,1,410000,332100,77900,0.234566696175851,0.05
EOG,EOG Resources Inc.,26875P101,Equity - US,Energy,USD,2520,130.0,1,327600,278460,49140,0.176485670795451,0.0399512195121951
SLB,Schlumberger N.V.,806857108,Equity - US,Energy,USD,5125,48.0,1,246000,232140,13860,0.0596974242273006,0.03
ARAMCO.SR,Saudi Arabian Oil Co.,SA14TG014J91,Equity - International,Energy,SAR,44000,28.0,0.2666,328211.2,295380,32831.2,0.111149149225025,0.0400257560975610
VLO,Valero Energy Corporation,91913Y100,Equity - US,Energy,USD,2115,155.0,1,327825,289224,38601,0.133464810804787,0.039979268292683
EPD,Enterprise Products Partners L.P.,293792107,MLP,Energy,USD,7690,32.0,1,246080,196824,49256,0.250252611063084,0.03001
DAL,Delta Air Lines Inc.,247361702,Equity - US,Industrials,USD,4470,55.0,1,245850,229824,16026,0.0697161693647145,0.029982
UAL,United Airlines Holdings Inc.,910047109,Equity - US,Industrials,USD,1725,95.0,1,163875,141144,22731,0.161045432702938,0.01998
AMZN,Amazon.com Inc.,023135106,Equity - US,Consumer Discretionary,USD,1865,220.0,1,410300,287210,123090,0.428572467810766,0.0500366
WMT,Walmart Inc.,931142103,Equity - US,Consumer Staples,USD,3455,95.0,1,328225,278850,49375,0.177080151515152,0.0400274
BRK.B,Berkshire Hathaway Inc. Class B,084670702,Equity - US,Financials,USD,1035,475.0,1,491625,393300,98325,0.250000635902977,0.0599518
JNJ,Johnson & Johnson,478160104,Equity - US,Health Care,USD,1990,165.0,1,328350,308169,20181,0.0654861183036414,0.0400427
TLT,iShares 20+ Year Treasury Bond ETF,464287432,Fixed Income ETF,Diversified,USD,4455,92.0,1,409860,438600,-28740,-0.0655311919927027,0.04998
SPY,SPDR S&P 500 ETF Trust,78462F103,ETF - US Equity,Diversified,USD,1700,578.2,1,982940,756840,226100,0.298745835272069,0.119870
QQQ,Invesco QQQ Trust,46090E103,ETF - US Equity,Diversified,USD,1555,527.8,1,820729,605660,215069,0.355094270612557,0.100089
VTI,Vanguard Total Stock Market ETF,922908769,ETF - US Equity,Diversified,USD,2840,289.4,1,821896,632220,189676,0.300015342440447,0.100231
TOTAL,,,,,,,,,8201166.20,6768785.00,1432381.20,0.211615573497149,1.0
